id,char,pinyin,initial,strokes,level,polyphonic
6317,鞫,jū,J,18,2,False
6318,鞧,qiū,Q,18,2,False
6319,鞣,róu,R,18,2,False
6320,藜,lí,L,18,2,False
6321,藠,jiào,J,18,2,False
6322,藩,fān,F,18,2,False
6323,醪,láo,L,18,2,False
6324,蹙,cù,C,18,2,False
6325,礓,jiāng,J,18,2,False
6326,燹,xiǎn,X,18,2,False
6327,餮,tiè,T,18,2,False
6328,瞿,qú,Q,18,2,False
6329,曛,xūn,X,18,2,False
6330,颢,hào,H,18,2,False
6331,曜,yào,Y,18,2,False
6332,躇,chú,C,18,2,False
6333,蹚,tāng,T,18,2,False
6334,鹭,lù,L,18,2,False
6335,蟛,péng,P,18,2,False
6336,蟪,huì,H,18,2,False
6337,蟠,pán,P,18,2,False
6338,蟮,shàn,S,18,2,False
6339,鹮,huán,H,18,2,False
6340,黠,xiá,X,18,2,False
6341,黟,yī,Y,18,2,False
6342,髅,lóu,L,18,2,False
6343,髂,qià,Q,18,2,False
6344,镬,huò,H,18,2,False
6345,镭,léi,L,18,2,False
6346,镯,zhuó,Z,18,2,False
6347,馥,fù,F,18,2,False
6348,簟,diàn,D,18,2,False
6349,簪,zān,Z,18,2,False
6350,鼬,yòu,Y,18,2,False
6351,雠,chóu,C,18,2,False
6352,艟,chōng,C,18,2,False
6353,鳎,tǎ,T,18,2,False
6354,鳏,guān,G,18,2,False
6355,鳐,yáo,Y,18,2,False
6356,癞,lài,L,18,2,False
6357,癔,yì,Y,18,2,False
6358,癜,diàn,D,18,2,False
6359,癖,pǐ,P,18,2,False
6360,糨,jiàng,J,18,2,False
6361,蹩,bié,B,18,2,False
6362,鎏,liú,L,18,2,False
6363,懵,měng,M,18,2,False
6364,彝,yí,Y,18,2,False
6365,邋,lā,L,18,2,False
6366,鬏,jiū,J,19,2,False
6367,攉,huō,H,19,2,False
6368,攒,cuán|zǎn,C,19,2,True
6369,鞲,gōu,G,19,2,False
6370,鞴,bèi,B,19,2,False
6371,藿,huò,H,19,2,False
6372,蘧,qú,Q,19,2,False
6373,蘅,héng,H,19,2,False
6374,麓,lù,L,19,2,False
6375,醮,jiào,J,19,2,False
6376,醯,xī,X,19,2,False
6377,酃,líng,L,19,2,False
6378,霪,yín,Y,19,2,False
6379,霭,ǎi,Ǎ,19,2,False
6380,霨,wèi,W,19,2,False
6381,黼,fǔ,F,19,2,False
6382,嚯,huò,H,19,2,False
6383,蹰,chú,C,19,2,False
6384,蹶,jué|juě,J,19,2,True
6385,蹽,liāo,L,19,2,False
6386,蹼,pǔ,P,19,2,False
6387,蹴,cù,C,19,2,False
6388,蹾,dūn,D,19,2,False
6389,蹿,cuān,C,19,2,False
6390,蠖,huò,H,19,2,False
6391,蠓,měng,M,19,2,False
6392,蟾,chán,C,19,2,False
6393,蠊,lián,L,19,2,False
6394,黢,qū,Q,19,2,False
6395,髋,kuān,K,19,2,False
6396,髌,bìn,B,19,2,False
6397,镲,chǎ,C,19,2,False
6398,籀,zhòu,Z,19,2,False
6399,籁,lài,L,19,2,False
6400,齁,hōu,H,19,2,False
6401,魑,chī,C,19,2,False
6402,艨,méng,M,19,2,False
6403,鳓,lè,L,19,2,False
6404,鳔,biào,B,19,2,False
6405,鳕,xuě,X,19,2,False
6406,鳗,mán,M,19,2,False
6407,鳙,yōng,Y,19,2,False
6408,麒,qí,Q,19,2,False
6409,鏖,áo,Á,19,2,False
6410,羸,léi,L,19,2,False
6411,㸆,kào,K,19,2,False
6412,瀚,hàn,H,19,2,False
6413,瀣,xiè,X,19,2,False
6414,瀛,yíng,Y,19,2,False
6415,襦,rú,R,19,2,False
6416,谶,chèn,C,19,2,False
6417,襞,bì,B,19,2,False
6418,骥,jì,J,19,2,False
6419,缵,zuǎn,Z,19,2,False
6420,瓒,zàn,Z,20,2,False
6421,攘,rǎng,R,20,2,False
6422,蘩,fán,F,20,2,False
6423,蘖,niè,N,20,2,False
6424,醴,lǐ,L,20,2,False
6425,霰,xiàn,X,20,2,False
6426,酆,fēng,F,20,2,False
6427,矍,jué,J,20,2,False
6428,曦,xī,X,20,2,False
6429,躅,zhú,Z,20,2,False
6430,鼍,tuó,T,20,2,False
6431,巉,chán,C,20,2,False
6432,黩,dú,D,20,2,False
6433,黥,qíng,Q,20,2,False
6434,黪,cǎn,C,20,2,False
6435,镳,biāo,B,20,2,False
6436,镴,là,L,20,2,False
6437,黧,lí,L,20,2,False
6438,纂,zuǎn,Z,20,2,False
6439,璺,wèn,W,20,2,False
